Zeit;Kanal A
(ms);(mV)

-21,57899914;-0,18639270
-21,57399914;0,18639270
-21,56899914;1,49298700
-21,56399914;1,86638800
-21,55899914;2,05339600
-21,55399914;2,23978800
-21,54899914;2,42679600
-21,54399914;2,80019700
-21,53899914;4,29379900
-21,53399914;3,54699800
-21,52899914;2,80019700
-21,52399914;1,86638800
-21,51899914;3,35999000
-21,51399914;2,80019700
-21,50899914;3,17359700
-21,50399914;2,80019700
-21,49899914;2,05339600
-21,49399914;2,42679600
-21,48899914;3,35999000
-21,48399914;2,42679600
-21,47899914;3,35999000
-21,47399914;2,98658900
-21,46899914;3,92039800
-21,46399914;2,80019700
-21,45899914;0,93319390
-21,45399914;2,42679600
-21,44899914;3,73339100
-21,44399914;3,73339100
-21,43899914;3,92039800
-21,43399914;3,92039800
-21,42899914;4,29379900
-21,42399914;4,29379900
-21,41899914;3,92039800
-21,41399914;4,10679100
-21,40899914;4,85359200
-21,40399914;4,66720000
-21,39899914;5,22699300
-21,39399914;4,66720000
-21,38899914;4,66720000
-21,38399914;5,22699300
-21,37899914;4,48019200
-21,37399914;4,10679100
-21,36899914;4,48019200
-21,36399914;3,92039800
-21,35899914;3,92039800
-21,35399914;2,98658900
-21,34899914;2,98658900
-21,34399914;3,35999000
-21,33899914;2,98658900
-21,33399914;2,23978800
-21,32899914;2,42679600
-21,32399914;3,17359700
-21,31899914;2,98658900
-21,31399915;3,54699800
-21,30899915;4,10679100
-21,30399915;2,80019700
-21,29899915;3,73339100
-21,29399915;4,66720000
-21,28899915;3,54699800
-21,28399915;2,98658900
-21,27899915;3,35999000
-21,27399915;3,35999000
-21,26899915;2,23978800
-21,26399915;2,80019700
-21,25899915;2,80019700
-21,25399915;2,05339600
-21,24899915;1,86638800
-21,24399915;2,05339600
-21,23899915;1,49298700
-21,23399915;2,23978800
-21,22899915;2,05339600
-21,22399915;2,05339600
-21,21899915;2,42679600
-21,21399915;2,98658900
-21,20899915;2,05339600
-21,20399915;2,98658900
-21,19899915;5,22699300
-21,19399915;2,80019700
-21,18899915;3,17359700
-21,18399915;3,73339100
-21,17899915;3,54699800
-21,17399915;2,98658900
-21,16899915;2,98658900
-21,16399915;2,42679600
-21,15899915;2,42679600
-21,15399915;1,67999500
-21,14899915;0,93319390
-21,14399915;0,37278540
-21,13899915;1,30659400
-21,13399915;0,37278540
-21,12899915;-0,18639270
-21,12399915;0,55979330
-21,11899915;-1,11958700
-21,11399915;-0,37278540
-21,10899915;0,00000000
-21,10399915;-0,37278540
-21,09899915;-0,93319390
-21,09399915;-0,55979330
-21,08899915;-0,37278540
-21,08399915;-0,37278540
-21,07899915;-0,37278540
-21,07399915;-0,55979330
-21,06899915;-0,93319390
-21,06399915;0,18639270
-21,05899915;-0,74618600
-21,05399915;0,18639270
-21,04899915;0,55979330
-21,04399915;0,00000000
-21,03899915;1,30659400
-21,03399915;0,93319390
-21,02899915;-0,18639270
-21,02399915;0,18639270
-21,01899915;1,11958700
-21,01399915;1,11958700
-21,00899915;0,93319390
-21,00399915;0,74618600
-20,99899915;1,49298700
-20,99399915;0,55979330
-20,98899915;0,55979330
-20,98399915;-1,11958700
-20,97899915;-0,37278540
-20,97399915;-0,18639270
-20,96899915;-1,11958700
-20,96399915;0,00000000
-20,95899915;-0,55979330
-20,95399915;-1,49298700
-20,94899915;-1,49298700
-20,94399915;-0,74618600
-20,93899915;-2,05339600
-20,93399915;-2,23978800
-20,92899915;-2,05339600
-20,92399915;-2,05339600
-20,91899916;-1,67999500
-20,91399916;-1,86638800
-20,90899916;-0,74618600
-20,90399916;-0,74618600
-20,89899916;-1,11958700
-20,89399916;-0,37278540
-20,88899916;-0,37278540
-20,88399916;-0,74618600
-20,87899916;-1,30659400
-20,87399916;-2,23978800
-20,86899916;-2,23978800
-20,86399916;-1,67999500
-20,85899916;-1,30659400
-20,85399916;-2,23978800
-20,84899916;-2,23978800
-20,84399916;-3,54699800
-20,83899916;-3,35999000
-20,83399916;-3,17359700
-20,82899916;-3,73339100
-20,82399916;-3,54699800
-20,81899916;-3,54699800
-20,81399916;-4,10679100
-20,80899916;-4,29379900
-20,80399916;-3,17359700
-20,79899916;-2,98658900
-20,79399916;-3,17359700
-20,78899916;-2,98658900
-20,78399916;-2,61318900
-20,77899916;-3,73339100
-20,77399916;-1,86638800
-20,76899916;-1,49298700
-20,76399916;-2,05339600
-20,75899916;-2,05339600
-20,75399916;-2,23978800
-20,74899916;-1,30659400
-20,74399916;-1,30659400
-20,73899916;-2,80019700
-20,73399916;-2,42679600
-20,72899916;-3,17359700
-20,72399916;-2,80019700
-20,71899916;-3,54699800
-20,71399916;-2,98658900
-20,70899916;-3,54699800
-20,70399916;-2,61318900
-20,69899916;-3,17359700
-20,69399916;-2,98658900
-20,68899916;-2,61318900
-20,68399916;-3,54699800
-20,67899916;-2,61318900
-20,67399916;-2,42679600
-20,66899916;-2,42679600
-20,66399916;-2,42679600
-20,65899916;-3,54699800
-20,65399916;-2,98658900
-20,64899916;-2,23978800
-20,64399916;-2,98658900
-20,63899916;-2,23978800
-20,63399916;-3,35999000
-20,62899916;-2,98658900
-20,62399916;-2,23978800
-20,61899916;-2,61318900
-20,61399916;-2,61318900
-20,60899916;-2,05339600
-20,60399916;-2,42679600
-20,59899916;-3,17359700
-20,59399916;-2,23978800
-20,58899916;-2,61318900
-20,58399916;-3,17359700
-20,57899916;-2,61318900
-20,57399916;-2,23978800
-20,56899916;-2,05339600
-20,56399916;-2,05339600
-20,55899916;-1,67999500
-20,55399916;-2,42679600
-20,54899916;-2,80019700
-20,54399916;-2,98658900
-20,53899916;-2,05339600
-20,53399916;-1,30659400
-20,52899916;-0,74618600
-20,52399916;-1,30659400
-20,51899917;-0,74618600
-20,51399917;-1,11958700
-20,50899917;-2,61318900
-20,50399917;-1,30659400
-20,49899917;-1,11958700
-20,49399917;-0,93319390
-20,48899917;-0,18639270
-20,48399917;-0,74618600
-20,47899917;-1,86638800
-20,47399917;-1,30659400
-20,46899917;-2,05339600
-20,46399917;-2,05339600
-20,45899917;-1,49298700
-20,45399917;-0,74618600
-20,44899917;-2,23978800
-20,44399917;-1,30659400
-20,43899917;-3,92039800
-20,43399917;-0,74618600
-20,42899917;-0,55979330
-20,42399917;0,18639270
-20,41899917;0,00000000
-20,41399917;-0,18639270
-20,40899917;1,49298700
-20,40399917;1,86638800
-20,39899917;2,42679600
-20,39399917;3,17359700
-20,38899917;4,10679100
-20,38399917;3,92039800
-20,37899917;3,54699800
-20,37399917;3,54699800
-20,36899917;2,80019700
-20,36399917;2,05339600
-20,35899917;2,05339600
-20,35399917;0,93319390
-20,34899917;-1,11958700
-20,34399917;0,18639270
-20,33899917;-1,11958700
-20,33399917;-1,30659400
-20,32899917;-1,30659400
-20,32399917;-1,11958700
-20,31899917;-0,37278540
-20,31399917;0,74618600
-20,30899917;-1,11958700
-20,30399917;0,74618600
-20,29899917;0,55979330
-20,29399917;1,49298700
-20,28899917;1,49298700
-20,28399917;3,73339100
-20,27899917;1,86638800
-20,27399917;1,86638800
-20,26899917;1,11958700
-20,26399917;2,98658900
-20,25899917;2,98658900
-20,25399917;3,54699800
-20,24899917;3,35999000
-20,24399917;2,23978800
-20,23899917;2,98658900
-20,23399917;2,61318900
-20,22899917;2,61318900
-20,22399917;2,80019700
-20,21899917;2,98658900
-20,21399917;2,42679600
-20,20899917;2,98658900
-20,20399917;2,80019700
-20,19899917;2,98658900
-20,19399917;2,80019700
-20,18899917;2,80019700
-20,18399917;3,73339100
-20,17899917;5,22699300
-20,17399917;3,54699800
-20,16899917;2,05339600
-20,16399917;4,29379900
-20,15899917;4,29379900
-20,15399917;4,48019200
-20,14899917;4,66720000
-20,14399917;5,60039300
-20,13899917;4,29379900
-20,13399917;4,66720000
-20,12899917;4,10679100
-20,12399918;4,85359200
-20,11899918;5,04060000
-20,11399918;3,92039800
-20,10899918;3,92039800
-20,10399918;4,29379900
-20,09899918;3,92039800
-20,09399918;3,73339100
-20,08899918;3,92039800
-20,08399918;3,92039800
-20,07899918;2,42679600
-20,07399918;2,61318900
-20,06899918;3,35999000
-20,06399918;2,98658900
-20,05899918;3,17359700
-20,05399918;3,54699800
-20,04899918;2,98658900
-20,04399918;3,73339100
-20,03899918;4,48019200
-20,03399918;4,48019200
-20,02899918;3,92039800
-20,02399918;4,48019200
-20,01899918;3,73339100
-20,01399918;4,66720000
-20,00899918;5,60039300
-20,00399918;4,29379900
-19,99899918;1,86638800
-19,99399918;3,73339100
-19,98899918;2,98658900
-19,98399918;2,23978800
-19,97899918;2,05339600
-19,97399918;1,67999500
-19,96899918;1,67999500
-19,96399918;1,30659400
-19,95899918;1,67999500
-19,95399918;1,49298700
-19,94899918;2,05339600
-19,94399918;1,67999500
-19,93899918;1,49298700
-19,93399918;1,86638800
-19,92899918;2,98658900
-19,92399918;3,73339100
-19,91899918;3,35999000
-19,91399918;3,35999000
-19,90899918;3,17359700
-19,90399918;3,73339100
-19,89899918;3,73339100
-19,89399918;3,35999000
-19,88899918;2,42679600
-19,88399918;2,42679600
-19,87899918;1,30659400
